"city","year","weekofyear","week_start_date","ndvi_ne","ndvi_nw","ndvi_se","ndvi_sw","precipitation_amt_mm","reanalysis_air_temp_k","reanalysis_avg_temp_k","reanalysis_dew_point_temp_k","reanalysis_max_air_temp_k","reanalysis_min_air_temp_k","reanalysis_precip_amt_kg_per_m2","reanalysis_relative_humidity_percent","reanalysis_sat_precip_amt_mm","reanalysis_specific_humidity_g_per_kg","reanalysis_tdtr_k","station_avg_temp_c","station_diur_temp_rng_c","station_max_temp_c","station_min_temp_c","station_precip_mm","total_cases","ndvi_ne_ma_5","ndvi_nw_ma_5","ndvi_se_ma_5","ndvi_sw_ma_5","precipitation_amt_mm_ma_5","reanalysis_air_temp_k_ma_5","reanalysis_avg_temp_k_ma_5","reanalysis_dew_point_temp_k_ma_5","reanalysis_max_air_temp_k_ma_5","reanalysis_min_air_temp_k_ma_5","reanalysis_precip_amt_kg_per_m2_ma_5","reanalysis_relative_humidity_percent_ma_5","reanalysis_sat_precip_amt_mm_ma_5","reanalysis_specific_humidity_g_per_kg_ma_5","reanalysis_tdtr_k_ma_5","station_avg_temp_c_ma_5","station_diur_temp_rng_c_ma_5","station_max_temp_c_ma_5","station_min_temp_c_ma_5","station_precip_mm_ma_5","ndvi_ne_std_10","ndvi_nw_std_10","ndvi_se_std_10","ndvi_sw_std_10","precipitation_amt_mm_std_10","reanalysis_air_temp_k_std_10","reanalysis_avg_temp_k_std_10","reanalysis_dew_point_temp_k_std_10","reanalysis_max_air_temp_k_std_10","reanalysis_min_air_temp_k_std_10","reanalysis_precip_amt_kg_per_m2_std_10","reanalysis_relative_humidity_percent_std_10","reanalysis_sat_precip_amt_mm_std_10","reanalysis_specific_humidity_g_per_kg_std_10","reanalysis_tdtr_k_std_10","station_avg_temp_c_std_10","station_diur_temp_rng_c_std_10","station_max_temp_c_std_10","station_min_temp_c_std_10","station_precip_mm_std_10"
"sj",1990,18,641433600000,0.1226,0.103725,0.19848329999999997,0.17761670000000004,12.42,297.57285714299996,297.74285714300004,292.414285714,299.8,295.90000000000003,32.0,73.36571428570001,12.42,14.0128571429,2.62857142857,25.4428571429,6.9,29.400000000000002,20.0,16.0,4,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"sj",1990,19,642038400000,0.1699,0.142175,0.1623571,0.15548570000000006,22.82,298.211428571,298.44285714299997,293.951428571,300.90000000000003,296.40000000000003,17.94,77.36857142859999,22.82,15.372857142900001,2.37142857143,26.714285714299997,6.371428571429999,31.700000000000003,22.200000000000003,8.6,5,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"sj",1990,20,642643200000,0.03225,0.1729667,0.1572,0.1708429,34.54,298.781428571,298.87857142900003,295.434285714,300.5,297.3,26.1,82.05285714290001,34.54,16.8485714286,2.3000000000000003,26.714285714299997,6.485714285709999,32.2,22.8,41.400000000000006,4,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"sj",1990,21,643248000000,0.1286333,0.2450667,0.2275571,0.23588569999999998,15.36,298.98714285700004,299.228571429,295.31,301.40000000000003,297.0,13.9,80.3371428571,15.36,16.6728571429,2.4285714285699997,27.471428571399997,6.7714285714299995,33.300000000000004,23.3,4.0,3,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"sj",1990,22,643852800000,0.1962,0.2622,0.25120000000000003,0.24734000000000003,7.5200000000000005,299.518571429,299.664285714,295.821428571,301.90000000000003,297.5,12.200000000000001,80.46000000000001,7.5200000000000005,17.21,3.0142857142899997,28.9428571429,9.37142857143,35.0,23.900000000000002,5.800000000000001,6,"0.12991666","0.18522668","0.19935949999999997","0.1974342","18.532","298.61428571420004","298.79142857159997","294.586285714","300.9","296.82","20.428","78.71685714286","18.532","16.02342857146","2.548571428572","27.05714285716","7.18","32.32","22.439999999999998","15.16","0.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"sj",1990,23,644457600000,,0.17485,0.2543143,0.1817429,9.58,299.63,299.76428571400004,295.85142857100004,302.40000000000003,298.1,26.490000000000002,79.8914285714,9.58,17.2128571429,2.1,28.1142857143,6.942857142859999,34.4,23.900000000000002,39.1,2,"nan","0.19945168000000002","0.21052569999999998","0.19825944","17.964","299.02571428560003","299.1957142857999","295.2737142854","301.42","297.25999999999993","19.326","80.02199999999999","17.964","16.663428571459995","2.442857142858","27.591428571439998","7.188571428572","33.32","23.22","19.78","0.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"sj",1990,24,645062400000,0.1129,0.09280000000000001,0.2050714,0.2102714,3.48,299.207142857,299.22142857100005,295.86571428599996,301.3,297.7,38.6,82.0,3.48,17.2342857143,2.04285714286,27.4142857143,6.7714285714299995,32.2,23.3,29.700000000000003,4,"nan","0.18957668","0.21906856000000002","0.20921658","14.095999999999998","299.22485714280003","299.3514285714","295.65657142840007","301.50000000000006","297.5199999999999","23.458","80.94828571427999","14.095999999999998","17.03571428574","2.377142857144","27.73142857144","7.268571428572","33.42","23.44","24.0","0.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"sj",1990,25,645667200000,0.07250000000000001,0.07250000000000001,0.1514714,0.1330286,151.12,299.591428571,299.528571429,296.531428571,300.6,298.40000000000003,30.0,83.3757142857,151.12,17.977142857100002,1.5714285714299998,28.371428571400003,7.685714285710001,33.9,22.8,21.1,5,"nan","0.16948334","0.21792283999999995","0.20165372","37.412000000000006","299.3868571428","299.4814285714","295.87599999980006","301.52000000000004","297.73999999999995","24.238","81.21285714284001","37.412000000000006","17.26142857144","2.23142857143","28.062857142860004","7.508571428572","33.75999999999999","23.440000000000005","19.939999999999998","0.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"sj",1990,26,646272000000,0.10245000000000001,0.146175,0.1255714,0.1236,19.32,299.578571429,299.55714285700003,296.37857142900003,302.1,297.7,37.51,82.7685714286,19.32,17.79,1.88571428571,28.3285714286,7.3857142857100015,33.9,22.8,21.1,10,"nan","0.149705","0.19752569999999997","0.17919658","38.20400000000001","299.5051428572","299.54714285700004","296.0897142856001","301.66","297.87999999999994","28.959999999999997","81.69914285714","38.20400000000001","17.484857142859997","2.122857142858","28.2342857143","7.631428571427998","33.87999999999999","23.340000000000007","23.359999999999996","0.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"sj",1990,27,646876800000,,0.12155,0.16068329999999997,0.20256670000000002,14.41,300.154285714,300.278571429,296.651428571,302.3,298.7,28.400000000000002,81.2814285714,14.41,18.071428571400002,2.0142857142899997,28.3285714286,6.5142857142900015,33.9,24.400000000000002,1.1,6,"nan","0.12157500000000002","0.17942235999999998","0.17024192","39.58200000000001","299.63228571420007","299.66999999999996","296.2557142856001","301.74000000000007","298.1199999999999","32.2","81.86342857142","39.58200000000001","17.657142857139995","1.9228571428579997","28.11142857144","7.059999999999998","33.65999999999998","23.44000000000001","22.419999999999995","nan",0.05912747373744629,0.04233514508575705,0.03875175769931475,41.52042823719428,0.7266470524360865,0.6873496124623191,1.2417648813446112,0.8219489035213764,0.8210359310042444,8.660703435633852,2.8169150480223695,41.52042823719428,1.196521966482801,0.38583331496790746,0.999764257924123,0.8433219057596777,1.5623379916010487,1.1612062693595824,13.658144090614948
