city,year,weekofyear,week_start_date,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm,total_cases,reconstruction_error
sj,1990,0.3269230769230769,1990-04-30,0.1226,0.103725,0.19848329999999997,0.17761670000000002,0.0305811181461639,0.38829084041126316,0.3546666666540533,0.31467964310324,0.12345679012345688,0.6923076923076923,0.05592566619915849,0.381613941769616,0.0305811181461639,0.26265926168615267,0.08666017526768194,0.4300911854148936,0.2103929024082116,0.1741935483870967,0.4862385321100917,0.0289134438305709,4,0.2708181718090495
sj,1990,0.34615384615384615,1990-05-07,0.1699,0.142175,0.1623571,0.15548570000000006,0.05724026556612238,0.4727101037950041,0.44177777776206595,0.48921330083518666,0.19135802469135604,0.7307692307692307,0.03127629733520337,0.4796682530807532,0.05724026556612238,0.41816399870045423,0.06913339824746632,0.5653495440744678,0.16349809885954833,0.32258064516129026,0.6880733944954127,0.015285451197053405,5,0.2604772583247371
sj,1990,0.36538461538461536,1990-05-14,0.03225,0.1729667,0.1572,0.1708429,0.08728307400476787,0.5480642114465747,0.49600000001792394,0.6575831305378359,0.16666666666666607,0.8000000000000026,0.0455820476858345,0.5944148936184968,0.08728307400476787,0.5868997059842973,0.06426484907503273,0.5653495440744678,0.17363751584256346,0.3548387096774195,0.7431192660550459,0.07569060773480664,4,0.23091553837669299
sj,1990,0.38461538461538464,1990-05-21,0.1286333,0.2450667,0.22755709999999998,0.2358857,0.03811745405142139,0.5752596789074682,0.5395555555719268,0.6434712084289295,0.22222222222222027,0.7769230769230787,0.024193548387096777,0.5523866181405176,0.03811745405142139,0.5668082326111838,0.07302823758514053,0.6458966565319146,0.19898605830187593,0.425806451612903,0.7889908256880733,0.006813996316758748,3,0.2259781788499151
sj,1990,0.40384615384615385,1990-05-28,0.1962,0.2622,0.2512,0.24734,0.018020558304068082,0.6455146364927522,0.5937777777033345,0.7015409569619084,0.2530864197530845,0.8153846153846172,0.021213183730715287,0.5553961366186076,0.018020558304068082,0.6282260699144531,0.11295034079868697,0.8024316109468084,0.4296577946770051,0.5354838709677419,0.8440366972477062,0.010128913443830571,6,0.1612233723585575
sj,1990,0.4230769230769231,1990-06-04,,0.17485,0.2543143,0.18174289999999999,0.023301120196867548,0.660245514623617,0.6062222221473393,0.7049472829960238,0.2839506172839487,0.861538461538465,0.04626577840112202,0.5414683650613716,0.023301120196867548,0.6285527605433329,0.050632911392491355,0.714285714287234,0.2141951837772859,0.4967741935483869,0.8440366972477062,0.07145488029465931,2,0.26508076247756457
sj,1990,0.4423076923076923,1990-06-11,0.1129,0.0928,0.2050714,0.2102714,0.007664504883238062,0.6043437204572012,0.5386666665764017,0.7065693430933705,0.21604938271604954,0.8307692307692316,0.06749649368863955,0.5931201007843018,0.007664504883238062,0.6310029402199133,0.046738072054817115,0.639817629180851,0.19898605830187593,0.3548387096774195,0.7889908256880733,0.05414364640883978,4,0.2221691165620734
sj,1990,0.46153846153846156,1990-06-18,0.0725,0.0725,0.1514714,0.1330286,0.3861218630642639,0.6551463644251241,0.5768888889039342,0.7821573397693778,0.17283950617284033,0.8846153846153846,0.05241935483870968,0.6268197088466264,0.3861218630642639,0.7159425024480819,0.014605647517300754,0.7416413373829787,0.2801013941695463,0.4645161290322579,0.7431192660550459,0.03830570902394107,5,0.26621463479421753
sj,1990,0.4807692307692308,1990-06-25,0.10245,0.146175,0.1255714,0.1236,0.048268437107482506,0.6534466478244968,0.5804444443882548,0.764801297692864,0.265432098765433,0.8307692307692316,0.06558555399719494,0.6119470884669527,0.048268437107482506,0.6945442665823168,0.036027263875190584,0.7370820668723405,0.2534854245878006,0.4645161290322579,0.7431192660550459,0.03830570902394107,10,0.2653144562481565
sj,1990,0.5,1990-07-02,,0.12155,0.16068329999999995,0.20256670000000002,0.03568224346979057,0.7295561850322825,0.6702222222339493,0.7957826439058524,0.27777777777777796,0.9076923076923086,0.049614305750350626,0.5755179171330044,0.03568224346979057,0.7267232930410433,0.04479065238598001,0.7370820668723405,0.17617237008920464,0.4645161290322579,0.8899082568807337,0.0014732965009208105,6,0.2667883432234307
