"city","year","weekofyear","week_start_date","ndvi_ne","ndvi_nw","ndvi_se","ndvi_sw","precipitation_amt_mm","reanalysis_air_temp_k","reanalysis_avg_temp_k","reanalysis_dew_point_temp_k","reanalysis_max_air_temp_k","reanalysis_min_air_temp_k","reanalysis_precip_amt_kg_per_m2","reanalysis_relative_humidity_percent","reanalysis_sat_precip_amt_mm","reanalysis_specific_humidity_g_per_kg","reanalysis_tdtr_k","station_avg_temp_c","station_diur_temp_rng_c","station_max_temp_c","station_min_temp_c","station_precip_mm","total_cases"
"sj",1990,18,641433600000,0.1226,0.103725,0.19848329999999997,0.17761670000000004,12.42,297.57285714299996,297.74285714300004,292.414285714,299.8,295.90000000000003,32.0,73.36571428570001,12.42,14.0128571429,2.62857142857,25.4428571429,6.9,29.400000000000002,20.0,16.0,4
"sj",1990,19,642038400000,0.1699,0.142175,0.1623571,0.15548570000000006,22.82,298.211428571,298.44285714299997,293.951428571,300.90000000000003,296.40000000000003,17.94,77.36857142859999,22.82,15.372857142900001,2.37142857143,26.714285714299997,6.371428571429999,31.700000000000003,22.200000000000003,8.6,5
"sj",1990,20,642643200000,0.03225,0.1729667,0.1572,0.1708429,34.54,298.781428571,298.87857142900003,295.434285714,300.5,297.3,26.1,82.05285714290001,34.54,16.8485714286,2.3000000000000003,26.714285714299997,6.485714285709999,32.2,22.8,41.400000000000006,4
"sj",1990,21,643248000000,0.1286333,0.2450667,0.2275571,0.23588569999999998,15.36,298.98714285700004,299.228571429,295.31,301.40000000000003,297.0,13.9,80.3371428571,15.36,16.6728571429,2.4285714285699997,27.471428571399997,6.7714285714299995,33.300000000000004,23.3,4.0,3
"sj",1990,22,643852800000,0.1962,0.2622,0.25120000000000003,0.24734000000000003,7.5200000000000005,299.518571429,299.664285714,295.821428571,301.90000000000003,297.5,12.200000000000001,80.46000000000001,7.5200000000000005,17.21,3.0142857142899997,28.9428571429,9.37142857143,35.0,23.900000000000002,5.800000000000001,6
"sj",1990,23,644457600000,,0.17485,0.2543143,0.1817429,9.58,299.63,299.76428571400004,295.85142857100004,302.40000000000003,298.1,26.490000000000002,79.8914285714,9.58,17.2128571429,2.1,28.1142857143,6.942857142859999,34.4,23.900000000000002,39.1,2
"sj",1990,24,645062400000,0.1129,0.09280000000000001,0.2050714,0.2102714,3.48,299.207142857,299.22142857100005,295.86571428599996,301.3,297.7,38.6,82.0,3.48,17.2342857143,2.04285714286,27.4142857143,6.7714285714299995,32.2,23.3,29.700000000000003,4
"sj",1990,25,645667200000,0.07250000000000001,0.07250000000000001,0.1514714,0.1330286,151.12,299.591428571,299.528571429,296.531428571,300.6,298.40000000000003,30.0,83.3757142857,151.12,17.977142857100002,1.5714285714299998,28.371428571400003,7.685714285710001,33.9,22.8,21.1,5
"sj",1990,26,646272000000,0.10245000000000001,0.146175,0.1255714,0.1236,19.32,299.578571429,299.55714285700003,296.37857142900003,302.1,297.7,37.51,82.7685714286,19.32,17.79,1.88571428571,28.3285714286,7.3857142857100015,33.9,22.8,21.1,10
"sj",1990,27,646876800000,,0.12155,0.16068329999999997,0.20256670000000002,14.41,300.154285714,300.278571429,296.651428571,302.3,298.7,28.400000000000002,81.2814285714,14.41,18.071428571400002,2.0142857142899997,28.3285714286,6.5142857142900015,33.9,24.400000000000002,1.1,6
"sj",1990,28,647481600000,0.192875,0.08235,0.1919429,0.1529286,22.27,299.512857143,299.592857143,296.04142857100004,301.8,298.0,43.72,81.4671428571,22.27,17.4185714286,2.1571428571399998,27.5571428571,7.157142857139999,31.700000000000003,21.700000000000003,63.7,8
"sj",1990,29,648086400000,0.2916,0.21180000000000002,0.3012,0.2806667,59.17,299.66714285700004,299.75,296.33428571400003,302.0,297.3,40.9,82.1442857143,59.17,17.7371428571,2.41428571429,28.1285714286,6.9,32.800000000000004,23.900000000000002,12.200000000000001,2
"sj",1990,30,648691200000,0.15056670000000005,0.17170000000000002,0.22690000000000002,0.2145571,16.48,299.55857142900004,299.635714286,295.96,301.8,297.1,42.53,80.74285714290001,16.48,17.3414285714,2.0714285714300003,28.1142857143,6.3571428571399995,31.700000000000003,22.8,32.6,6
"sj",1990,31,649296000000,,0.24715,0.37970000000000004,0.3813571,32.660000000000004,299.86285714300004,299.95,296.17285714300004,303.0,298.3,34.6,80.58428571430001,32.660000000000004,17.5942857143,2.58571428571,28.2428571429,8.085714285709999,34.4,22.8,37.6,17
"sj",1990,32,649900800000,,0.06433333000000001,0.1644429,0.13885709999999998,28.8,300.391428571,300.478571429,296.532857143,302.5,298.8,20.0,79.65,28.8,17.95,2.3285714285699997,28.200000000000003,7.55714285714,33.300000000000004,23.3,11.4,23
"sj",1990,33,650505600000,,0.12803330000000002,0.20695709999999998,0.16824289999999997,90.75,299.958571429,299.957142857,297.03571428600003,302.6,298.5,101.9,84.17857142860001,90.75,18.5157142857,1.85714285714,28.0428571429,6.68571428571,32.800000000000004,22.8,44.7,13
"sj",1990,34,651110400000,0.1902333,0.1688,0.1676571,0.17228569999999999,32.4,300.332857143,300.414285714,296.728571429,302.5,298.1,25.900000000000002,80.9471428571,32.4,18.1742857143,2.48571428571,28.3428571429,7.01428571429,33.300000000000004,23.3,5.4,21
"sj",1990,35,651715200000,0.2529,0.33075000000000004,0.2641714000000001,0.28431429999999996,40.94,300.11857142900004,300.22142857100005,297.017142857,302.2,298.7,39.800000000000004,83.3485714286,40.94,18.5157142857,1.9000000000000001,28.657142857100002,6.528571428569999,32.2,24.400000000000002,13.700000000000001,28
"sj",1990,36,652320000000,0.2354,0.20002499999999998,0.2838167,0.23044289999999998,28.86,300.53000000000003,300.635714286,296.11714285700003,303.8,298.0,30.400000000000002,77.1728571429,28.86,17.56,3.4714285714299997,28.3285714286,7.614285714289999,32.800000000000004,23.3,14.200000000000001,24
